category,rank,dataset_index,image_path,output_path,image_miou,pixel_error_rate,boundary_error_rate,dynamic_to_background_error_rate
worst_overall,1,154,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0351/GOPR0351_frame_000822_rgb_anon.png,outputs/analysis/baseline/examples/worst_overall/01_idx00154_miou0.1485_berr0.5720_dbg0.4047_GOPR0351_frame_000822_rgb_anon.png,0.14851236099584741,0.4306186937864083,0.5719851248450505,0.40474198047419807
worst_overall,2,133,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0351/GOPR0351_frame_000132_rgb_anon.png,outputs/analysis/baseline/examples/worst_overall/02_idx00133_miou0.1728_berr0.5691_dbg0.3556_GOPR0351_frame_000132_rgb_anon.png,0.17282295920385668,0.2831390951928484,0.5690741936475725,0.35563163901325606
worst_overall,3,193,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0356/GOPR0356_frame_000452_rgb_anon.png,outputs/analysis/baseline/examples/worst_overall/03_idx00193_miou0.1781_berr0.5821_dbg0.8980_GOPR0356_frame_000452_rgb_anon.png,0.1781490228038963,0.2547106775357477,0.5821484544647746,0.8979669825741363
worst_overall,4,205,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0356/GOPR0356_frame_000488_rgb_anon.png,outputs/analysis/baseline/examples/worst_overall/04_idx00205_miou0.2015_berr0.5462_dbg1.0000_GOPR0356_frame_000488_rgb_anon.png,0.20146731007834964,0.2516737045834433,0.5462431088322603,1.0
worst_overall,5,135,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0351/GOPR0351_frame_000143_rgb_anon.png,outputs/analysis/baseline/examples/worst_overall/05_idx00135_miou0.2030_berr0.5192_dbg0.4601_GOPR0351_frame_000143_rgb_anon.png,0.20297117356763242,0.2001344540427533,0.5192321518441297,0.4600737367165474
boundary_error,1,179,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0356/GOPR0356_frame_000395_rgb_anon.png,outputs/analysis/baseline/examples/boundary_error/01_idx00179_miou0.2558_berr0.7166_dbgnan_GOPR0356_frame_000395_rgb_anon.png,0.2558438282927396,0.415304029957204,0.71660933293449,nan
boundary_error,2,155,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0351/GOPR0351_frame_000825_rgb_anon.png,outputs/analysis/baseline/examples/boundary_error/02_idx00155_miou0.2204_berr0.6798_dbg0.2311_GOPR0351_frame_000825_rgb_anon.png,0.22039913223469657,0.44132447613429426,0.6797816531972211,0.23107027394929386
boundary_error,3,178,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0356/GOPR0356_frame_000391_rgb_anon.png,outputs/analysis/baseline/examples/boundary_error/03_idx00178_miou0.2393_berr0.6704_dbgnan_GOPR0356_frame_000391_rgb_anon.png,0.23931449694927553,0.4029070186828248,0.6703789371484051,nan
boundary_error,4,117,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0351/GOPR0351_frame_000083_rgb_anon.png,outputs/analysis/baseline/examples/boundary_error/04_idx00117_miou0.2590_berr0.5901_dbg0.1277_GOPR0351_frame_000083_rgb_anon.png,0.25903208403786343,0.21546760950261307,0.590132137228755,0.12770824922621452
boundary_error,5,103,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0351/GOPR0351_frame_000047_rgb_anon.png,outputs/analysis/baseline/examples/boundary_error/05_idx00103_miou0.2493_berr0.5881_dbg1.0000_GOPR0351_frame_000047_rgb_anon.png,0.24928639448010373,0.1983555618328928,0.5880672408082146,1.0
dynamic_to_background,1,103,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0351/GOPR0351_frame_000047_rgb_anon.png,outputs/analysis/baseline/examples/dynamic_to_background/01_idx00103_miou0.2493_berr0.5881_dbg1.0000_GOPR0351_frame_000047_rgb_anon.png,0.24928639448010373,0.1983555618328928,0.5880672408082146,1.0
dynamic_to_background,2,102,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0351/GOPR0351_frame_000043_rgb_anon.png,outputs/analysis/baseline/examples/dynamic_to_background/02_idx00102_miou0.3988_berr0.5226_dbg1.0000_GOPR0351_frame_000043_rgb_anon.png,0.39881850324977647,0.13185947648950175,0.5226434965771458,1.0
dynamic_to_background,3,344,/home/user/DATA/awseg/data/raw/rgb_anon/snow/val/GOPR0604/GOPR0604_frame_000310_rgb_anon.png,outputs/analysis/baseline/examples/dynamic_to_background/03_idx00344_miou0.4319_berr0.2917_dbg0.9449_GOPR0604_frame_000310_rgb_anon.png,0.4318627120847416,0.06020519476932849,0.2917122239230265,0.9448630136986301
dynamic_to_background,4,193,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0356/GOPR0356_frame_000452_rgb_anon.png,outputs/analysis/baseline/examples/dynamic_to_background/04_idx00193_miou0.1781_berr0.5821_dbg0.8980_GOPR0356_frame_000452_rgb_anon.png,0.1781490228038963,0.2547106775357477,0.5821484544647746,0.8979669825741363
dynamic_to_background,5,37,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_001011_rgb_anon.png,outputs/analysis/baseline/examples/dynamic_to_background/05_idx00037_miou0.4747_berr0.2977_dbg0.8410_GOPR0476_frame_001011_rgb_anon.png,0.4747199246225238,0.056197914394170774,0.29772118968406835,0.841034336583298
best_cases,1,401,/home/user/DATA/awseg/data/raw/rgb_anon/snow/val/GP030176/GP030176_frame_000629_rgb_anon.png,outputs/analysis/baseline/examples/best_cases/01_idx00401_miou0.7311_berr0.2556_dbg0.0345_GP030176_frame_000629_rgb_anon.png,0.7310933545837663,0.03349255517277982,0.25564794870510443,0.03454008656519621
best_cases,2,14,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000869_rgb_anon.png,outputs/analysis/baseline/examples/best_cases/02_idx00014_miou0.6825_berr0.3375_dbg0.3044_GOPR0476_frame_000869_rgb_anon.png,0.682513806361365,0.07322100857592678,0.33751354698869795,0.3043867502238138
best_cases,3,64,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GP010476/GP010476_frame_000114_rgb_anon.png,outputs/analysis/baseline/examples/best_cases/03_idx00064_miou0.6548_berr0.2923_dbg0.0378_GP010476_frame_000114_rgb_anon.png,0.6548155037420038,0.040138442521631644,0.2922762548640247,0.03781776336436866
best_cases,4,234,/home/user/DATA/awseg/data/raw/rgb_anon/rain/val/GOPR0402/GOPR0402_frame_000429_rgb_anon.png,outputs/analysis/baseline/examples/best_cases/04_idx00234_miou0.6458_berr0.2414_dbg0.0440_GOPR0402_frame_000429_rgb_anon.png,0.6457601571714223,0.06540215568392456,0.24141020646669265,0.04398689751988769
