dataset_index,condition,image_path,label_path,image_miou,pixel_error_rate,boundary_error_rate,interior_error_rate,dynamic_to_background_error_rate,valid_pixels,boundary_pixels,interior_pixels,gt_dynamic_pixels,error_pixels,boundary_error_pixels,interior_error_pixels,dynamic_to_background_error_pixels
100,night,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0351/GOPR0351_frame_000033_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/night/val/GOPR0351/GOPR0351_frame_000033_gt_labelTrainIds.png,0.22828443112958932,0.3431307530546543,0.5544308092518238,0.3349869115938649,0.08522727272727272,476486,17683,458803,352,163497,9804,153693,30
101,night,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0351/GOPR0351_frame_000039_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/night/val/GOPR0351/GOPR0351_frame_000039_gt_labelTrainIds.png,0.3341077297409677,0.20080401568489614,0.504918681101389,0.18666117990004277,0.4918032786885246,455215,20229,434986,244,91409,10214,81195,120
102,night,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0351/GOPR0351_frame_000043_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/night/val/GOPR0351/GOPR0351_frame_000043_gt_labelTrainIds.png,0.24496347424218853,0.20571632032109793,0.5726698262243286,0.18338278116587,0.9763513513513513,463410,26586,436824,888,95331,15225,80106,867
103,night,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0351/GOPR0351_frame_000047_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/night/val/GOPR0351/GOPR0351_frame_000047_gt_labelTrainIds.png,0.2869892249700783,0.1977038397126773,0.5650463729711825,0.1788854998748563,1.0,495610,24152,471458,2151,97984,13647,84337,2151
104,night,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0351/GOPR0351_frame_000049_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/night/val/GOPR0351/GOPR0351_frame_000049_gt_labelTrainIds.png,0.3091349085458555,0.15611225015422892,0.5055674010897891,0.14042182925999047,0.17592592592592593,491153,21105,470048,216,76675,10670,66005,38
105,night,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0351/GOPR0351_frame_000053_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/night/val/GOPR0351/GOPR0351_frame_000053_gt_labelTrainIds.png,0.31799219252112343,0.1484519263158322,0.4442552501418957,0.1328662365958901,0.7511177347242921,492806,24666,468140,671,73158,10958,62200,504
106,night,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0351/GOPR0351_frame_000055_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/night/val/GOPR0351/GOPR0351_frame_000055_gt_labelTrainIds.png,0.38187742870414493,0.1365583325973682,0.47326542511232295,0.1156282312308791,0.5004616805170822,498212,29157,469055,1083,68035,13799,54236,542
107,night,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0351/GOPR0351_frame_000057_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/night/val/GOPR0351/GOPR0351_frame_000057_gt_labelTrainIds.png,0.3663667032022621,0.10241956257375802,0.4472430506648991,0.08495680304791316,0.1384928716904277,500793,24139,476654,4910,51291,10796,40495,680
108,night,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0351/GOPR0351_frame_000059_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/night/val/GOPR0351/GOPR0351_frame_000059_gt_labelTrainIds.png,0.29819205893670453,0.1694007881154275,0.5409628378378378,0.1368429988441873,0.7181818181818181,499673,40256,459417,2310,84645,21777,62868,1659
109,night,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0351/GOPR0351_frame_000061_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/night/val/GOPR0351/GOPR0351_frame_000061_gt_labelTrainIds.png,0.3141643733697421,0.13650167852374154,0.4807539887659809,0.11409299623376244,0.3400091033227128,474822,29019,445803,2197,64814,13951,50863,747
110,night,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0351/GOPR0351_frame_000063_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/night/val/GOPR0351/GOPR0351_frame_000063_gt_labelTrainIds.png,0.2952109859153974,0.19257017400304777,0.47564299097257706,0.17769923382361166,0.6036821705426356,470509,23484,447025,1032,90606,11170,79436,623
111,night,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0351/GOPR0351_frame_000065_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/night/val/GOPR0351/GOPR0351_frame_000065_gt_labelTrainIds.png,0.3509351048177268,0.10121009223901938,0.39246584922374006,0.08692630081923546,0.14285714285714285,458808,21449,437359,1603,46436,8418,38018,229
112,night,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0351/GOPR0351_frame_000067_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/night/val/GOPR0351/GOPR0351_frame_000067_gt_labelTrainIds.png,0.40517344965414254,0.14236100520741196,0.4636650868878357,0.12399911438416382,0.8325942350332595,491799,26586,465213,902,70013,12327,57686,751
113,night,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0351/GOPR0351_frame_000069_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/night/val/GOPR0351/GOPR0351_frame_000069_gt_labelTrainIds.png,0.3039720416049385,0.19278108257448948,0.5311842009729181,0.17279970504826192,0.8498498498498499,494063,27546,466517,999,95246,14632,80614,849
