,road,sidewalk,building,wall,fence,pole,traffic_light,traffic_sign,vegetation,terrain,sky,person,rider,car,truck,bus,train,motorcycle,bicycle
CLAHE,0.8920647501945496,0.6133922934532166,0.6932135224342346,0.273026704788208,0.21677251160144806,0.41283199191093445,0.2674700915813446,0.14724485576152802,0.6317434906959534,0.10636591911315918,0.7702191472053528,0.0983501598238945,0.0,0.39402830600738525,0.0,0.0,0.6077263951301575,0.0,0.14787617325782776
Gamma,0.8986182808876038,0.6335939168930054,0.6999921202659607,0.27231577038764954,0.22055630385875702,0.42949095368385315,0.23184241354465485,0.17605014145374298,0.62687087059021,0.09541693329811096,0.7691518068313599,0.06871291995048523,0.0,0.33562636375427246,0.0,0.0,0.6138161420822144,0.0,0.1217178925871849
Zero-DCE,0.8893398642539978,0.5972726345062256,0.6994273662567139,0.258771151304245,0.22333630919456482,0.4065825939178467,0.22461102902889252,0.1279926747083664,0.6312733888626099,0.10698051005601883,0.7673934698104858,0.05580860748887062,0.0,0.4226420521736145,0.0,0.0,0.5875288844108582,0.0,0.10242050141096115
RetinexFormer,0.888909101486206,0.6074806451797485,0.6974512934684753,0.2519300878047943,0.22526153922080994,0.41219234466552734,0.23825952410697937,0.1576467603445053,0.6292418241500854,0.10240110754966736,0.7617387175559998,0.07792207598686218,0.00034794711973518133,0.36972475051879883,0.0,0.0,0.5627099871635437,0.0,0.11108995229005814
Gamma+CLAHE,0.8978738188743591,0.6177794933319092,0.6972221732139587,0.2404318004846573,0.20716212689876556,0.4165101647377014,0.23838630318641663,0.13880863785743713,0.6387502551078796,0.09786025434732437,0.7712132930755615,0.0926867201924324,0.0,0.36930084228515625,0.0,0.0,0.5511907935142517,0.0,0.10675498843193054
SCI,0.892718493938446,0.6135954856872559,0.6987097263336182,0.2633178234100342,0.2221377193927765,0.3982996940612793,0.19783826172351837,0.13258181512355804,0.6372183561325073,0.11252184212207794,0.7766396999359131,0.028227971866726875,0.0,0.38020333647727966,0.0,0.0,0.5613661408424377,0.0,0.10849302262067795
No Enhancement,0.8952285647392273,0.623250424861908,0.6976538300514221,0.2763657867908478,0.22174939513206482,0.4030149281024933,0.2030361145734787,0.15718764066696167,0.6280848979949951,0.09912228584289551,0.7661557197570801,0.07069866359233856,0.0,0.35944560170173645,0.0,0.0,0.5553335547447205,0.0,0.05765427276492119
